Investigator: 
Recording Name: 20260505 KOLF EGC BUMP d40
Description: 

Maestro Pro (Maestro-055) Settings,
   Original File Time,05/05/2026 10:19:33
   Sampling Frequency,12.5 kHz
   Voltage Scale,-5.484861781483107E-08 V/sample
   Experiment Start Time,05/05/2026 10:19:16
   Referencing Method,Median
   Analog Mode Setting,Neural Spikes
   Plate Type,CytoView MEA 12
   Digital Low Pass Filter,4 kHz Kaiser Window
   Digital High Pass Filter,200 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,36.9 Degrees C
   Heater Power,On
   Legacy Heating Mode,Off
   Barcode Plate Type,TwelveWellTransparent
   Plate Serial Number,134-8628
   CO2 Conc. Set Point,5.0 %
   Actual CO2 Conc.,5.0 %
   Gas Mixer Status,Regulating
   AxIS Version,4.1.0.1
   Maestro Pro (Maestro-055) Firmware,4.1.0.1
   Maestro Pro (Maestro-055) BioCore Version,BioCore 4
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,Default (Well)
   Coincidence Occurrence Threshold,4 Electrodes
   Coincidence Event Window,160 µs
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,False
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
Active,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9,#FF54A9
Control,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,
Concentration,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,
,
Analysis Start (s): ,15.250000000000002
Analysis Duration (s): ,599.25

Treatment Averages,
Total Wells,12
Number of Spikes - Avg,3750.416667
Number of Spikes - Std,5351.45794
Mean Firing Rate (Hz) - Avg,0.097789
Mean Firing Rate (Hz) - Std,0.139535
Number of Active Electrodes - Avg,6.5
Number of Active Electrodes - Std,8.80599
Weighted Mean Firing Rate (Hz) - Avg,1.015828
Weighted Mean Firing Rate (Hz) - Std,1.038915
Number of Bursts - Avg,46.833333
Number of Bursts - Std,130.801608
Burst Duration - Avg (s),0.274463
Burst Duration - Std (s),0.082129
Inter-Burst Interval - Avg (s),0.051317
Inter-Burst Interval - Std (s),0.017748
Burst Frequency - Avg (Hz),0.180782
Burst Frequency - Std (Hz),0.328806
Normalized Duration IQR - Avg,0.557265
Normalized Duration IQR - Std,0.278143
IBI Coefficient of Variation - Avg,1.20863
IBI Coefficient of Variation - Std,0.369753
Burst Percentage - Avg,4.395221
Burst Percentage - Std,9.277562
Number of Network Bursts - Avg,0
Number of Network Bursts - Std,0
Network Burst Frequency - Avg (Hz),
Network Burst Frequency - Std (Hz),
Network Burst Duration - Avg (sec),
Network Burst Duration - Std (sec),
Number of Elecs Participating in Burst - Avg,
Number of Elecs Participating in Burst - Std,
Network Burst Percentage - Avg,
Network Burst Percentage - Std,
Network IBI Coefficient of Variation - Avg,
Network IBI Coefficient of Variation - Std,
Network Normalized Duration IQR - Avg,
Network Normalized Duration IQR - Std,

Well Averages,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
Treatment/ID,,,,,,,,,,,,
Number of Spikes,67,1,2,1996,222,1475,6,2,6572,9501,8866,16295
Mean Firing Rate (Hz),0.001747,2.6E-05,5.2E-05,0.052044,0.005788,0.03846,0.000156,5.2E-05,0.17136,0.247732,0.231174,0.42488
Number of Active Electrodes,1,0,0,1,1,5,0,0,9,19,23,19
Weighted Mean Firing Rate (Hz),0.091781,,,3.33083,0.185232,0.491948,,,1.166273,0.810135,0.6297,1.420723
ISI Coefficient of Variation - Avg,1.14028,,,2.20493,1.218387,0.980896,,,0.894572,0.998437,1.360764,0.944164
Number of Bursts,0,0,0,71,0,0,0,0,1,10,23,457
Number of Bursting Electrodes,0,0,0,1,0,0,0,0,1,2,3,1
Burst Duration - Avg (s),,,,0.161633,,,,,0.264,0.380818,0.319578,0.246284
Burst Duration - Std (s),,,,,,,,,,0.211654,0.009301,
Number of Spikes per Burst - Avg,,,,7.521127,,,,,5,6.555556,7.205882,6.693654
Number of Spikes per Burst - Std,,,,,,,,,,2.042753,1.674405,
Mean ISI within Burst - Avg,,,,0.024498,,,,,0.066,0.066136,0.057114,0.042838
Mean ISI within Burst - Std,,,,,,,,,,0.013642,0.010102,
Median ISI within Burst - Avg,,,,0.017798,,,,,0.0692,0.062133,0.056927,0.040074
Median ISI within Burst - Std,,,,,,,,,,0.007278,0.009477,
Inter-Burst Interval - Avg (s),,,,8.385795,,,,,,68.98627,19.263191,1.312869
Inter-Burst Interval - Std (s),,,,,,,,,,,16.562366,
Burst Frequency - Avg (Hz),,,,0.118481,,,,,0.001669,0.008344,0.012794,0.76262
Burst Frequency - Std (Hz),,,,,,,,,,0.00944,0.013591,
Normalized Duration IQR - Avg,,,,0.888889,,,,,,0.212766,0.522752,0.604651
Normalized Duration IQR - Std,,,,,,,,,,,0.258985,
IBI Coefficient of Variation - Avg,,,,1.365214,,,,,,0.983618,1.65068,0.835007
IBI Coefficient of Variation - Std,,,,,,,,,,,0.036442,
Burst Percentage - Avg,0,0,0,26.753507,0,0,0,0,0.017627,0.388236,0.249718,1.259034
Burst Percentage - Std,0,,0,,0,0,0,0,0.098145,2.218725,1.094281,7.554206
Number of Network Bursts,0,0,0,0,0,0,0,0,0,0,0,0
Network Burst Frequency (Hz),,,,,,,,,,,,
Network Burst Duration - Avg (sec),,,,,,,,,,,,
